OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.009199621875331004,1.0755614407465304,0.0001905328089784348,0.013803362234558464,1.7665169295094034,0.9757805417638244,0.9879536956550439,5.520746946334839
Max3Pin,0.3133380849646457,7.796627437108092,0.22635827765433963,0.4757712450898432,11.445789014015716,0.9118958488038411,0.9557816713165453,5.520746946334839
Max4Pin,0.33067027017730005,7.9195492564540615,0.2601184070985623,0.5100180458557936,11.604388576306029,0.9123337843775221,0.9559395258767408,5.520746946334839
F-delta-H,0.03288395146420948,2.1123728585369363,0.0021191866628872537,0.046034624608953356,2.900310213836823,0.9501481543737481,0.9750898467748048,5.520746946334839
Max-Fxy,0.014621501296648198,0.8012725589552282,0.0005026382551281636,0.022419595338189394,1.2647959503010624,0.7796450923383407,0.9049405592627502,5.520746946334839
