OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
fluxQ1,0.0003,0.1137,0.0,0.0004,0.1435,0.9927
fluxQ2,0.0003,0.1289,0.0,0.0004,0.1619,0.9906
fluxQ3,0.0003,0.1238,0.0,0.0004,0.1561,0.9913
fluxQ4,0.0003,0.121,0.0,0.0004,0.1534,0.9916
