OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.009198697641752678,1.0754497709248416,0.00019055033714338292,0.013803997143703811,1.7666420243575436,0.9757783136821561,0.9879556688441569,8.980326175689697
Max3Pin,0.31334155442936235,7.796686773949473,0.22636169152227073,0.4757748327962196,11.445824084498781,0.9118945200433491,0.9557812774657902,8.980326175689697
Max4Pin,0.33067231983587486,7.919584467525533,0.26012035714227616,0.5100199575921281,11.604409911378601,0.9123331271654678,0.9559393303526539,8.980326175689697
F-delta-H,0.032883806984197315,2.11234866230977,0.0021191889180294634,0.046034649102925325,2.900288886815086,0.9501481013236779,0.9750900574620066,8.980326175689697
Max-Fxy,0.01461260465007705,0.8007983825923203,0.0005023997643497754,0.022414275905096183,1.264524069585749,0.7797496458873667,0.9049806571401134,8.980326175689697
