OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC
fission_gas,0.0,0.1687,0.0,0.0,0.3135,0.9963,0.9982
max_fuel_cl_T,1.6579,0.1048,6.9012,2.627,0.1696,0.9943,0.9973
max_fuel_surf_T,0.6352,0.0903,0.9133,0.9557,0.1353,0.9863,0.9933
radial_clad_T,0.0,0.3037,0.0,0.0,0.4594,0.9876,0.994
