OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
B-1,5.10856507178841,0.022488948518395335,52.226796300747694,7.226810935727299,0.03187799681528285,0.9972469369915085,0.9986303273361328,6.7968738079071045
B-2,5.172036590589875,0.023997415234354585,46.54642585836879,6.822494108342549,0.03170585554726184,0.9978003828489885,0.9990377562569803,6.7968738079071045
B-4,5.407531539924506,0.02368662221144007,49.136977236581124,7.009777260126111,0.03070881335721653,0.9966210177870217,0.9983114808402695,6.7968738079071045
B-5,5.844766726974073,0.026730591558037683,54.02000773766986,7.349830456389444,0.03359870073752564,0.9968928808264983,0.9984573676559578,6.7968738079071045
B-7,6.172505283246173,0.02709967730776263,65.37651643703997,8.085574589170516,0.03547913987742552,0.9955792475787852,0.9977939954904704,6.7968738079071045
B-8,5.8550154082768255,0.027656361279083795,62.78634694151207,7.9237836253592935,0.03748111977523275,0.9963146490783347,0.9981597120792619,6.7968738079071045
