OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC
fission_gas,0.0,0.1263,0.0,0.0,0.2267,0.9981,0.999
max_fuel_cl_T,1.6233,0.1026,5.5863,2.3635,0.1521,0.9954,0.9978
max_fuel_surf_T,0.7253,0.1029,1.3193,1.1486,0.1623,0.9802,0.9902
radial_clad_T,0.0,0.301,0.0,0.0,0.4367,0.9887,0.9945
