OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.014832704959975612,1.6812874194735792,0.00036233716118770686,0.019035155927591106,2.3249855634633474,0.9548701213777907,0.9772716232316863,4.6340110301971436
Max3Pin,0.27467673802354015,5.953733809714422,0.21183065585908786,0.46025064460475,9.206178817503206,0.9154244683720298,0.9585205453185645,4.6340110301971436
Max4Pin,0.27960861705227974,5.825454420576969,0.23272977150359195,0.4824207411623095,9.530962749216739,0.9196087341561282,0.9601787984432263,4.6340110301971436
F-delta-H,0.041133658104391145,2.6861366560584705,0.00317078861731378,0.05630975596922597,3.6204665421151576,0.9217548576719173,0.9619715500959872,4.6340110301971436
Max-Fxy,0.023691427912925174,1.317956725639727,0.0017081131718737978,0.04132932580957253,2.4665554881172316,0.32857564858890353,0.5912831290808294,4.6340110301971436
