OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fluxQ1,0.0003390452543980165,0.13559185624344303,1.7670610938452e-07,0.00042036425797696504,0.16797499581623151,0.9899361046391745,0.9949586199054186,9.512869358062744
fluxQ2,0.0003530077979186027,0.141038857409307,1.9745419519278e-07,0.000444358183443014,0.17723420442752766,0.9887544445073378,0.9943818676412809,9.512869358062744
fluxQ3,0.00035134672474335836,0.1404436889858236,1.9606161599102e-07,0.0004427884551239128,0.17676140494955117,0.9888337556948057,0.9944014225106421,9.512869358062744
fluxQ4,0.0003529272360564283,0.1409599653068828,2.0381133007007e-07,0.0004514546821886625,0.17989631199489944,0.9883923883202453,0.9941890963796276,9.512869358062744
