OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.014818576458055057,1.6799057077628383,0.00036194398710490805,0.019024825547292363,2.3243418193493364,0.9549190920618242,0.9772956556527225,4.630824327468872
Max3Pin,0.27394058990446823,5.941646044722561,0.21026208666977617,0.4585434403301133,9.18281252157445,0.9160507354840457,0.9588266952647152,4.630824327468872
Max4Pin,0.2789282113735166,5.8149182395218,0.23120651868965728,0.48083938970269197,9.509956713470324,0.9201349075851712,0.9604315678902761,4.630824327468872
F-delta-H,0.04111833747841202,2.6849590005827415,0.0031710062733777736,0.05631168860350197,3.6202012147939286,0.9217494866012591,0.9619930165467123,4.630824327468872
Max-Fxy,0.02369753462412625,1.3183251180072204,0.0017090150782808355,0.04134023558569588,2.467285371820929,0.32822112762720723,0.591358960367363,4.630824327468872
