OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC
fluxQ1,0.0003,0.1148,0.0,0.0004,0.1446,0.9926,0.9963
fluxQ2,0.0003,0.1252,0.0,0.0004,0.159,0.9909,0.9955
fluxQ3,0.0003,0.1233,0.0,0.0004,0.1556,0.9914,0.9957
fluxQ4,0.0003,0.1178,0.0,0.0004,0.1494,0.992,0.996
