OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fluxQ1,0.000414665000567988,0.16586294172514926,2.628852642776e-07,0.000512723379881978,0.20504984062298093,0.9855919166484226,0.9927786108939433,8.984615564346313
fluxQ2,0.0003700059503852586,0.14782409292979334,2.2157475589813e-07,0.00047071727809602494,0.18779388703206423,0.9874787189596653,0.9937299301451642,8.984615564346313
fluxQ3,0.0003966267390021192,0.1584103586764047,2.5336465917291e-07,0.0005033534137888682,0.20049563985114793,0.985722033777721,0.99284817687622,8.984615564346313
fluxQ4,0.00035136270667923155,0.14024626512526736,1.9978943166666e-07,0.0004469781109480229,0.1779685333607673,0.9885184863665017,0.9942451668246739,8.984615564346313
