OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fission_gas,2.97879745158438e-06,9.399596088282122,1.46030212e-11,3.8213899571638e-06,11.958482072576022,-6.2332866445738,0.269457049583791,0.8704977035522461
max_fuel_cl_T,93.78544871183324,5.8657905232420795,10594.412825409683,102.92916411498582,6.394112812568983,-6.8615612718125725,0.1188780947663774,0.8704977035522461
max_fuel_surf_T,13.628190241719782,1.9374558471776624,240.5012354891991,15.508102252990179,2.199883420652205,-2.3960839689615265,0.14513738932740594,0.8704977035522461
radial_clad_T,1.50870733810927e-06,7.776753435807077,3.15360213e-12,1.77583843071382e-06,9.055340989883872,-3.932046850972924,0.2733502546618036,0.8704977035522461
