OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
C-1,6.341061,0.03529513778630644,74.36086,8.623275,0.04795998102054,0.9990933537483215
C-2,7.3179164,0.040607553091831505,94.39448,9.715682,0.053979846416041255,0.9991894960403442
C-3,9.063014,0.04851333796977997,137.8335,11.740252,0.06280482048168778,0.9989719986915588
C-4,11.390026,0.060692959232255816,233.6488,15.285575,0.0810238707344979,0.998065710067749
C-5,9.61987,0.048370042350143194,175.04936,13.230623,0.06627341499552131,0.9982342720031738
C-6,8.273769,0.04304118920117617,143.00972,11.958667,0.06216068286448717,0.9985864758491516
C-7,8.8928585,0.04772894608322531,155.5475,12.471869,0.0669951899908483,0.9987265467643738
C-8,8.356354,0.0442810618551448,122.05921,11.048041,0.05849426961503923,0.9990493059158325
C-9,10.99429,0.05931396153755486,200.93387,14.175115,0.07629705942235887,0.9981919527053833
C-10,9.92849,0.05104060401208699,162.67679,12.754481,0.06553755956701934,0.9982370138168335
C-11,11.652591,0.06313009071163833,223.09245,14.936279,0.0809097895398736,0.9974062442779541
C-12,15.555034,0.08753979345783591,363.4423,19.064163,0.10721376165747643,0.9964766502380371
C-13,9.556367,0.05317236064001918,177.56015,13.325169,0.07437362219206989,0.9984714388847351
C-14,8.788093,0.049045222112908966,134.09229,11.579823,0.06459220894612372,0.9986746907234192
C-15,11.973737,0.06390823982656002,208.06792,14.42456,0.07698215777054429,0.9970986247062683
