OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.014829834597297298,1.6810797290001134,0.00036225475585582975,0.01903299124824655,2.325077034737475,0.954880385140451,0.9772775484313551,4.631880760192871
Max3Pin,0.2739335622472348,5.9395364242299005,0.21042416782800508,0.4587201410751495,9.179924284187821,0.9159860229424709,0.9588074161250597,4.631880760192871
Max4Pin,0.2791612020278857,5.821745842050742,0.23125046431835755,0.48088508431678095,9.512928589104236,0.9201197275560039,0.960425447759098,4.631880760192871
F-delta-H,0.04111470923577214,2.6849174156124334,0.0031689424840981822,0.056293360923808614,3.6193097520223603,0.9218004144635061,0.9620138958657573,4.631880760192871
Max-Fxy,0.023693345511583346,1.3181295681243654,0.0017098683685599933,0.04135055463424878,2.4680284332408045,0.3278857166710232,0.5911462570507902,4.631880760192871
