OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC
max_power,5.8919,3.5906,80.1105,8.9504,8.4769,0.9981,0.9991
burst_width,0.0068,1.7938,0.0001,0.0122,2.7077,0.9923,0.9962
max_TF,1.5382,0.1647,4.3035,2.0745,0.2201,0.9967,0.9983
avg_Tcool,0.0095,0.0017,0.0002,0.0133,0.0024,0.9997,0.9998
