OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.014834866988432603,1.6815049773999728,0.0003622531217643916,0.019032948320331027,2.324620924571177,0.9548805886700809,0.9772786758562887,4.623165845870972
Max3Pin,0.2745083719168238,5.951084109110365,0.21149122038804669,0.45988174609136934,9.204572569835172,0.9155599914166065,0.9585767453190559,4.623165845870972
Max4Pin,0.27935467572990014,5.822062403585908,0.2322752054792224,0.48194938061919157,9.530910496419555,0.9197657537667805,0.9602386600045947,4.623165845870972
F-delta-H,0.04112213352150622,2.6853461449198415,0.0031704600054660165,0.05630683799918103,3.6201086602310597,0.921762966784161,0.9619965561607112,4.623165845870972
Max-Fxy,0.02369155095068458,1.3180280473960788,0.0017093669521229566,0.041344491194389564,2.4676373569501835,0.3280828132168305,0.5913128256924822,4.623165845870972
