OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fluxQ1,0.00038221797920303687,0.15288222734593224,2.2356927490063e-07,0.00047283112725436547,0.1890788706091448,0.9877467276209954,0.9938631235838175,8.985176086425781
fluxQ2,0.0003692189216036034,0.147493741842485,2.2126406802001e-07,0.00047038714695451145,0.18763941323556177,0.9874962760600763,0.9937312585130736,8.985176086425781
fluxQ3,0.00039043796998569326,0.15590330545820738,2.467602076248e-07,0.0004967496428028872,0.1978059295829918,0.9860942172401994,0.9930743742078806,8.985176086425781
fluxQ4,0.00035123876018603703,0.14023319645766338,1.9843272254353e-07,0.0004454578796514055,0.17744866520560007,0.988596453825361,0.9942860800842178,8.985176086425781
