OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fluxQ1,0.00039514189813476974,0.1580582064638062,2.3788390692986e-07,0.00048773343839628256,0.1950367330950381,0.9869621784679988,0.9934681876068566,8.997100830078125
fluxQ2,0.00036898748660173735,0.14743154870934785,2.1773279214409e-07,0.00046661846528409806,0.18618346673604674,0.9876958299194232,0.993833746727885,8.997100830078125
fluxQ3,0.00039840864741417506,0.15909026966254633,2.5169718319355e-07,0.0005016943124987102,0.19984625758099395,0.9858160017596306,0.9928939200568766,8.997100830078125
fluxQ4,0.00034193062636131877,0.1365083997149409,1.8966347100439e-07,0.00043550369803756255,0.17340747064349493,0.9891004058125218,0.9945386669354548,8.997100830078125
