OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.014808719589770135,1.6787935494618342,0.0003616322292640148,0.019016630334105326,2.3233015465379854,0.9549579221764968,0.9773140116065395,4.626856565475464
Max3Pin,0.2742329634322208,5.94419868831055,0.21162583051908387,0.46002807579438443,9.205636898014287,0.9155062469604568,0.9585571564386319,4.626856565475464
Max4Pin,0.27948897526323446,5.827473196033084,0.2325097067418696,0.4821926033670255,9.539079204973739,0.919684750579159,0.9602096548034874,4.626856565475464
F-delta-H,0.04114597942021659,2.6868210499032563,0.0031736702462892667,0.05633533745606985,3.6219207762216628,0.9216837480848283,0.9619427415337733,4.626856565475464
Max-Fxy,0.023692446485293905,1.3180117821070612,0.001708091533967603,0.0413290640344976,2.466533050927188,0.3285841540072635,0.5912864700315197,4.626856565475464
