OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.01483343498185245,1.681365631107573,0.0003622662448033089,0.019033293062507835,2.324760964952719,0.9548789541671456,0.9772767288935927,4.6328654289245605
Max3Pin,0.2738168040030531,5.936413665378539,0.2110675835449489,0.45942092197128864,9.200565851020109,0.9157291327105184,0.9586523512695839,4.6328654289245605
Max4Pin,0.278992601737428,5.813986954871956,0.2321476067661665,0.4818169847215502,9.53140593009399,0.9198098298727136,0.9602542203716764,4.6328654289245605
F-delta-H,0.04112592583899827,2.6855784269910963,0.003171361180483588,0.05631483978920288,3.620629641590879,0.9217407286043191,0.9619881908432082,4.6328654289245605
Max-Fxy,0.023694548840933177,1.3181668213841007,0.0017089837125289294,0.04133985622288652,2.467288940321289,0.3282334568627503,0.5913136404635081,4.6328654289245605
