OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.01481849277038109,1.6797624631953372,0.0003618532125434498,0.019022439710600997,2.32363968094122,0.9549303982301652,0.9773022833118379,4.63830828666687
Max3Pin,0.2741567475685208,5.943719648137978,0.2113683592161274,0.45974814759401417,9.204894972701986,0.9156090449820093,0.9585886863622649,4.63830828666687
Max4Pin,0.27965680843253066,5.8301755022018575,0.23250491498422912,0.4821876346239388,9.537759382685318,0.9196864057840769,0.9602002251982024,4.63830828666687
F-delta-H,0.041142208085763854,2.6864947062852704,0.0031746089875407135,0.05634366856658088,3.6224038295261543,0.9216605828878714,0.9619355123848261,4.63830828666687
Max-Fxy,0.023696824090455197,1.3182510541269594,0.0017081020799920913,0.04132919162035584,2.4665389177130304,0.32858000858073744,0.5913739767747292,4.63830828666687
