OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC
B-1,4.769,0.021,48.7808,6.9843,0.0308,0.9974,0.9987
B-2,4.5244,0.021,37.3094,6.1081,0.0284,0.9982,0.9991
B-4,3.9133,0.0171,27.1683,5.2123,0.0228,0.9981,0.9991
B-5,4.0408,0.0185,30.1513,5.491,0.0251,0.9983,0.9991
B-7,4.6362,0.0204,43.2105,6.5735,0.0288,0.9971,0.9985
B-8,4.8474,0.0229,46.8197,6.8425,0.0324,0.9973,0.9986
