OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fluxQ1,0.00037908325636867694,0.1516477163303025,2.2047175697961e-07,0.0004695442013054847,0.18782190629071005,0.9879164948253756,0.9939469965001223,8.969549179077148
fluxQ2,0.00037102153001716674,0.1481905698619545,2.264707688283e-07,0.000475889450217481,0.18977697045310693,0.9872020432452897,0.9935878102405168,8.969549179077148
fluxQ3,0.0003962708391032605,0.15825502778113903,2.54173375235e-07,0.0005041561020507447,0.20078616349062536,0.9856764598580763,0.9928129249809207,8.969549179077148
fluxQ4,0.00034722738691226495,0.1386618707807231,1.9304424993792e-07,0.0004393680119648276,0.17511519220412466,0.9889061189621444,0.994438362044185,8.969549179077148
