OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fluxQ1,0.00039483698774690534,0.15794956048293424,2.3385686783636e-07,0.00048358749760137374,0.19342009256313722,0.9871828904013157,0.9935750742324497,9.12264370918274
fluxQ2,0.00039314056707708635,0.15716776022610895,2.3777921099796e-07,0.0004876260975357661,0.19480333772849262,0.9865629985041107,0.9932686129867772,9.12264370918274
fluxQ3,0.00039996765165496126,0.15976570640057774,2.516336208676e-07,0.0005016309608343528,0.1999211043518394,0.9858195837143752,0.9928955014376221,9.12264370918274
fluxQ4,0.0003304031519191173,0.13186068903525222,1.7613624827484e-07,0.0004196858923943469,0.1671236140296785,0.9898777892351438,0.9949319124820403,9.12264370918274
