OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fluxQ1,0.0004170084439583368,0.16679618843674662,2.6372860108354e-07,0.0005135451305226665,0.20534299802716602,0.985545695468902,0.9927605140076327,8.978121995925903
fluxQ2,0.00036873472886721383,0.14731548291857854,2.1735138219047e-07,0.0004662095904102294,0.18601206243103,0.9877173835535519,0.9938483476054707,8.978121995925903
fluxQ3,0.00040159187355750863,0.1603470200732949,2.5721340972814e-07,0.0005071621138532883,0.20194535213045292,0.9855051435034227,0.9927384647948728,8.978121995925903
fluxQ4,0.0003435622611988192,0.1371745239734271,1.9138098577639e-07,0.0004374711256487569,0.17422914619091462,0.9890017035483133,0.9944856717262969,8.978121995925903
