OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.012940499516739097,1.5075985134357022,0.00034733619690068115,0.018636957823118052,2.405492304851124,0.9549302728679439,0.9774261444002489,4.61167311668396
Max3Pin,0.24841267826692653,5.395408242824492,0.16756563786056125,0.40934782014878407,8.696216961577976,0.9341558825974653,0.9665253464226569,4.61167311668396
Max4Pin,0.24389906006648548,4.970102732295565,0.18670023063894717,0.4320882208981716,8.646901945853331,0.9367890386478684,0.9678816774139767,4.61167311668396
F-delta-H,0.032380086536532675,2.102967268063628,0.0018812040813796964,0.043372849587958784,2.767237985068894,0.9550748287259545,0.9777287859017995,4.61167311668396
Max-Fxy,0.019835516321535792,1.0925250340180295,0.000926549797749608,0.030439280506437863,1.747054054158544,0.6254061357126145,0.8047484293419153,4.61167311668396
