OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
B-1,7.2018814,0.031664950074627995,71.68124,8.466477,0.03724399721249938,0.9963713884353638
B-2,6.124147,0.028402148745954037,53.689,7.3272777,0.03399087872821838,0.9978116750717163
B-4,9.851028,0.04319482541177422,127.71846,11.301259,0.04958501085639,0.9925580024719238
B-5,7.8202863,0.03583380894269794,85.81216,9.263485,0.04247201432008296,0.9951494932174683
B-7,3.9188933,0.01722161250654608,26.604921,5.1579957,0.02268707612529397,0.9985277652740479
B-8,4.085143,0.01928622368723154,27.534176,5.2473016,0.024799248785711825,0.9985929131507874
