OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
C-1,46.223241490733464,0.2574519382467531,3219.6077399625756,56.74158739375006,0.3165987064796164,0.9607436160807987,0.9806714592929354,2.780963659286499
C-2,27.686043017824243,0.1531708454121833,1275.4969929956749,35.71410075860339,0.19732257429561165,0.9890481562642109,0.994582900996293,2.780963659286499
C-3,29.84537899553988,0.1598170082561043,1385.45354933439,37.22168117286469,0.19922959473032398,0.9896669150638384,0.9948656281074547,2.780963659286499
C-4,25.84072613900871,0.13795584830166302,1063.2245315565262,32.60712393874268,0.17368316645149512,0.9911980014210955,0.9956067670318389,2.780963659286499
C-5,61.02083037295767,0.3072671155311149,5631.713485009234,75.04474322035644,0.3772767501562225,0.9431920736806426,0.9714663112451354,2.780963659286499
C-6,65.14820734381023,0.33940969493616097,6223.75943286241,78.89080702377439,0.41050916798431414,0.9384842085532349,0.9690482578362926,2.780963659286499
C-7,25.19275340686756,0.13585211706278416,1076.0633683350406,32.80340482838695,0.17756270644709551,0.9911901669264659,0.9956838127365719,2.780963659286499
C-8,22.62163208333693,0.1196851853113595,816.5725174479383,28.57573301680883,0.151101490810794,0.9936399079534617,0.9968436175473491,2.780963659286499
C-9,21.109700609419125,0.11375681420127434,724.5212361979134,26.916932146846033,0.14478868082678845,0.9934805407966224,0.9967968253438294,2.780963659286499
C-10,56.82701645437148,0.2921461665236266,4742.586070721085,68.86643646015877,0.35436831733875335,0.9486023709039694,0.9740256352467062,2.780963659286499
C-11,59.520712575812205,0.3225090496861013,4956.108181080656,70.3996319669404,0.3815738092190789,0.9423789115277466,0.9709030861333915,2.780963659286499
C-12,29.796290463551184,0.16775857585139706,1376.6826776698801,37.103674719222624,0.2089340897864773,0.9866538300530696,0.9935502489523054,2.780963659286499
C-13,33.265869023632305,0.18473513626958107,1641.1267644747095,40.51082280668599,0.2247806402132199,0.9858720859515018,0.9930100221259551,2.780963659286499
C-14,27.98322739461178,0.15610415615618514,1207.5230995211373,34.74943308201067,0.19365493043034762,0.9880655823399855,0.9940783883415619,2.780963659286499
C-15,49.8046132355647,0.26593925361778764,3663.803210847552,60.52935825570557,0.3229839891450331,0.9489108397414538,0.974186693391513,2.780963659286499
