OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.014818211375797898,1.679866480454772,0.0003619518132354705,0.019025031228239037,2.32438219826413,0.9549181173003032,0.9772942549624858,4.635683536529541
Max3Pin,0.27350008836720013,5.933965829047268,0.20996203241653622,0.4582161415931746,9.184113414326701,0.9161705351791468,0.9588788975255366,4.635683536529541
Max4Pin,0.2789440701528166,5.816274038896317,0.2311418146879866,0.48077210265154385,9.51103684088452,0.9201572581274584,0.9604406846694626,4.635683536529541
F-delta-H,0.04112104816937717,2.685106057210753,0.0031714203024489854,0.05631536471025457,3.620389238066573,0.9217392696591936,0.9619865793209897,4.635683536529541
Max-Fxy,0.023697473058113896,1.3183207659117264,0.001708945701909171,0.04133939648699738,2.4672294173225917,0.3282483980599369,0.5913845880029508,4.635683536529541
