OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
K-eff,0.0037614792,0.437380000948906,6.529235e-05,0.008080368,0.993388332426548,0.991527795791626
Max3Pin,0.1414097,2.972167916595936,0.10006189,0.3163256,5.512502416968346,0.960681140422821
Max4Pin,0.15223022,3.0830033123493195,0.12155847,0.34865236,5.708885565400124,0.958844006061554
F-delta-H,0.020338984,1.2602166272699833,0.0010657096,0.032645207,1.9234579056501389,0.9745497107505798
Max-Fxy,0.013854313,0.7815161719918251,0.0013779068,0.037120167,2.1986234933137894,0.4429274797439575
