OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fission_gas,5.695980030522e-08,0.18620799414798045,6.22544e-15,7.890148915139e-08,0.2614925168392396,0.9966254079934012,0.9983779475775423,4.02397608757019
max_fuel_cl_T,1.4382431736918913,0.0910804218601127,4.255811754050376,2.062961888656787,0.13216456741842744,0.9972299399277071,0.9986474212327975,4.02397608757019
max_fuel_surf_T,1.6220942214489225,0.23207019139437646,7.366871110921589,2.7141980603709794,0.3919083256634825,0.8912473197876569,0.9504046634209524,4.02397608757019
radial_clad_T,6.062347869058e-08,0.32056372051506377,9.56141e-15,9.778247349837e-08,0.5360584962690106,0.9864193998232628,0.9934624733230173,4.02397608757019
