OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
C-1,45.02215841079166,0.250506673634929,3079.455152675584,55.49283875128018,0.309440558685094,0.9617372838190053,0.9808347762869497,2.7517969608306885
C-2,30.82646884322226,0.1705822492860066,1657.6695830605904,40.71448861352173,0.2249361736496537,0.9851585995661969,0.9926328102581128,2.7517969608306885
C-3,28.760083503888197,0.1543742759368539,1268.5472385028063,35.61667079476697,0.19116408758334516,0.9900198878594648,0.9949983834134508,2.7517969608306885
C-4,26.969588350298945,0.14446719339192932,1104.1957299034689,33.22944071006114,0.17782658522206987,0.9909883240714542,0.9955055657719526,2.7517969608306885
C-5,57.56944261392786,0.29060044908284177,5015.788314423114,70.82223036888286,0.35717780052005493,0.9499663633326563,0.9748414019407172,2.7517969608306885
C-6,65.04867048787378,0.33973242529084147,6085.133235690904,78.00726399311095,0.40702427935510904,0.9342597222462588,0.9667001455781782,2.7517969608306885
C-7,27.570110866624056,0.14888131150179798,1377.424567998016,37.11367090437183,0.20136247737491603,0.9878307912212472,0.9940122486023889,2.7517969608306885
C-8,22.452964320721208,0.11881603789265384,815.3740484699655,28.554755268955912,0.15091672594694538,0.9938904910329809,0.9969858167705579,2.7517969608306885
C-9,21.8734596948444,0.11782944508835594,801.1488276268403,28.304572556865086,0.15258980348046278,0.9930286538739478,0.9965155456369755,2.7517969608306885
C-10,59.56027838085537,0.3056437312606991,5130.8245024632615,71.62977385461483,0.367746076149889,0.9459704002767643,0.9728047033832169,2.7517969608306885
C-11,58.93890134113898,0.3193353921581005,5040.825412497769,70.99877049990211,0.3846980012579144,0.9478804869197728,0.9736165977252885,2.7517969608306885
C-12,31.600821904795097,0.17733648497521828,1614.1895513728,40.176977877545745,0.22454974387406593,0.9860472776397248,0.9930276934964714,2.7517969608306885
C-13,35.643017915496095,0.19745750601138962,1947.463536081934,44.130075187811926,0.24429913691625527,0.98454657790256,0.9922781894501815,2.7517969608306885
C-14,32.034667493206165,0.17832722923125155,1641.120354313314,40.51074368995605,0.22508813598948582,0.9845832842015463,0.9922859534141906,2.7517969608306885
C-15,48.99236505973337,0.26156525299485683,3571.0216701794866,59.75802598964834,0.3196698728448,0.9535302875915918,0.976630424192899,2.7517969608306885
