OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
fluxQ1,0.0003885033309306993,0.15543719149401178,2.3142661884767e-07,0.0004810682060245404,0.19244763135376056,0.987316086265642,0.9936442291152747,8.976528644561768
fluxQ2,0.0003871274815345602,0.15460147682589417,2.3961487704698e-07,0.0004895047262764519,0.1951948800019362,0.9864592642569359,0.9932171758791539,8.976528644561768
fluxQ3,0.00038446097889977514,0.1535111359651876,2.3967650848301e-07,0.0004895676750797655,0.19491589152021882,0.9864934079458227,0.9932456412577726,8.976528644561768
fluxQ4,0.0003506206662020735,0.13999498973152175,1.9750511654936e-07,0.0004444154773962816,0.17703275603554788,0.9886497615543015,0.9943094572058889,8.976528644561768
