OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
B-1,5.303639473028998,0.023335144622481655,50.77425662779166,7.12560570252043,0.03138133207047985,0.9973800263974714,0.9987048320881202,3.437473773956299
B-2,4.6086725901589425,0.02137157934807372,39.2330098176023,6.2636259321260805,0.029051875778196845,0.9982308611138223,0.9991247812281318,3.437473773956299
B-4,5.025723801359624,0.022036771467830462,47.891057708419176,6.920336531442613,0.03042285788780878,0.9974180698392766,0.9987468176389317,3.437473773956299
B-5,4.907913975655247,0.022449537003153608,39.97224231854297,6.322360502102278,0.028920192322729348,0.9978093456413464,0.9989364448416057,3.437473773956299
B-7,4.645767647870695,0.02041918718034295,41.010454343752365,6.403940532496563,0.028157885143758703,0.9975773708694059,0.9988050749224301,3.437473773956299
B-8,5.103905670522848,0.02411695985659696,47.91015506950005,6.921716193943526,0.03275454678920382,0.9975533972091447,0.9987800013027011,3.437473773956299
