OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
B-1,4.1470118,0.0182317104190588,30.42709,5.5160756,0.024235740420408547,0.9984299540519714
B-2,3.8636458,0.01790273963706568,25.142885,5.014268,0.023228627105709162,0.9988662004470825
B-4,3.7128906,0.016251899069175124,24.767239,4.97667,0.0217655862797983,0.9986647367477417
B-5,4.07306,0.018631484999787062,31.499798,5.6124682,0.025656798970885575,0.9982736706733704
B-7,3.850052,0.016915099695324898,28.74354,5.3613005,0.023555148800369352,0.9983020424842834
B-8,4.3419466,0.020502330153249204,32.108078,5.666399,0.02676566655281931,0.9983603358268738
