OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
K-eff,0.01483135282908495,1.681239173602648,0.0003623018464394609,0.019034228285892258,2.325191048492392,0.954874519906213,0.9772745290717026,4.627888917922974
Max3Pin,0.27408107991564784,5.943695621730629,0.21044911519030216,0.4587473326247272,9.182315558876708,0.9159760624557773,0.9588015403785546,4.627888917922974
Max4Pin,0.27912652147341704,5.820621322277552,0.2312507449983421,0.4808853761535509,9.511874055777193,0.9201196306014153,0.9604262933150127,4.627888917922974
F-delta-H,0.04111486753667939,2.6849552327797688,0.0031687215127036155,0.056291398212370024,3.61921698718455,0.9218058673461498,0.9620176227231219,4.627888917922974
Max-Fxy,0.023694101771524013,1.3181663665029693,0.001709689554858181,0.041348392409598964,2.4678766756884563,0.3279560046798856,0.5911980266565169,4.627888917922974
