OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
max_power,46.0261,41.5494,2715.3832,52.1093,61.1343,0.9363
burst_width,0.0608,14.2375,0.0208,0.1443,28.9469,-0.0733
max_TF,13.3902,1.4723,255.502,15.9844,1.7877,0.8026
avg_Tcool,0.2221,0.0396,0.0639,0.2528,0.0451,0.8852
