OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
fission_gas,0.0,0.9423,0.0,0.0,1.0516,0.9564
max_fuel_cl_T,5.2706,0.3306,38.469,6.2023,0.3888,0.9683
max_fuel_surf_T,2.4464,0.3478,8.8188,2.9696,0.4216,0.8676
radial_clad_T,0.0,0.5578,0.0,0.0,0.704,0.9686
