OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
K-eff,0.0053,0.6105,0.0001,0.009,1.1119,0.9897
Max3Pin,0.1688,3.8261,0.1248,0.3533,8.6247,0.9514
Max4Pin,0.1856,4.1517,0.1537,0.3921,9.2257,0.9482
F-delta-H,0.0233,1.4954,0.0011,0.0329,2.0564,0.9746
Max-Fxy,0.0199,1.0853,0.0013,0.0363,1.9806,0.4216
