OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
B-1,49.7266,0.218,4533.9632,67.3347,0.2943,0.761
B-2,45.1404,0.2094,3376.5648,58.1082,0.2694,0.8404
B-4,46.2997,0.2025,3224.9841,56.7889,0.2482,0.7782
B-5,46.7304,0.2135,3260.2897,57.0989,0.2604,0.8125
B-7,57.7893,0.2537,4384.8918,66.2185,0.2905,0.7035
B-8,48.5025,0.2284,3765.5132,61.3638,0.2885,0.779
