OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC
fluxQ1,0.0003,0.1151,0.0,0.0004,0.1448,0.9925,0.9963
fluxQ2,0.0003,0.1244,0.0,0.0004,0.1571,0.9912,0.9956
fluxQ3,0.0003,0.1223,0.0,0.0004,0.1544,0.9915,0.9958
fluxQ4,0.0003,0.1167,0.0,0.0004,0.1482,0.9922,0.9961
