OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC
fission_gas,0.0,0.1425,0.0,0.0,0.2707,0.9973,0.9986
max_fuel_cl_T,1.608,0.1016,5.9247,2.4341,0.1567,0.9951,0.9977
max_fuel_surf_T,0.7601,0.1077,1.6881,1.2993,0.1828,0.9747,0.9876
radial_clad_T,0.0,0.2974,0.0,0.0,0.4348,0.9888,0.9945
