OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
fission_gas,7.448712e-08,0.24340793024748564,1.154216e-14,1.0743443e-07,0.3533716080710292,0.9952932000160217
max_fuel_cl_T,2.1178527,0.13336797710508108,7.5686164,2.751112,0.1742164953611791,0.9937608242034912
max_fuel_surf_T,1.4842534,0.2110139699652791,3.791982,1.947301,0.27635868173092604,0.9430764317512512
radial_clad_T,4.7107005e-08,0.2470355713739991,4.09953e-15,6.4027546e-08,0.3408776829019189,0.9929528832435608
