OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC
max_power,5.7406,3.3874,76.2128,8.73,7.1972,0.9982,0.9991
burst_width,0.0066,1.7333,0.0001,0.0119,2.5585,0.9927,0.9964
max_TF,1.5753,0.1689,4.544,2.1317,0.2265,0.9965,0.9982
avg_Tcool,0.0073,0.0013,0.0001,0.0108,0.0019,0.9998,0.9999
