OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,PCC,CONVERSION_TIME
B-1,5.218890766281572,0.022978690126448608,54.29583982395171,7.368571084270797,0.03250765883880945,0.9971378702366976,0.9985731647740774,3.3776278495788574
B-2,4.649516222253381,0.02158013110662109,37.90764497838119,6.156918464490269,0.028629495960938812,0.9982086206510761,0.9991071111404725,3.3776278495788574
B-4,4.798419889009383,0.021034183715811304,39.52179455631275,6.286636187685172,0.027582558978378746,0.9972822210819402,0.998656196625873,3.3776278495788574
B-5,4.178002885906511,0.019114284512193578,32.834393944546875,5.730130360170428,0.02622638403342465,0.9981114335364253,0.9990679142204951,3.3776278495788574
B-7,4.747890982111748,0.020846870024269576,44.97999001897037,6.706712310735444,0.029434726994754357,0.996958458317765,0.9984794038368847,3.3776278495788574
B-8,5.007032725138294,0.023657291216147396,51.535537530913714,7.178825637311001,0.03399512089499767,0.9969750343826342,0.9984912646302982,3.3776278495788574
